,MS Zoning,Street,Alley,Land Contour,Lot Config,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Foundation,Bsmt Qual,Total Bsmt SF,Heating,1st Flr SF,Gr Liv Area,Full Bath,Kitchen Qual,TotRms AbvGrd,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Misc Feature,Sale Type,SalePrice,Exter Qual and Gr Liv Area
972,RL,Pave,0,Lvl,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,5,1925,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,CBlock,3,901.0,GasA,901,1351,1,3,7,4,Detchd,1975.0,1,2.0,576.0,0,WD ,122000,4053
973,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1005.0,GasA,1005,1005,1,3,6,3,Attchd,1956.0,1,1.0,319.0,0,WD ,133500,3015
974,RM,Pave,Grvl,Lvl,Corner,OldTown,Norm,Norm,1Fam,1.5Fin,6,1920,1950,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,4,BrkTil,4,1510.0,GasW,1584,2792,2,3,8,3,Detchd,1920.0,1,2.0,520.0,Shed,WD ,256000,11168
975,RM,Pave,0,Lvl,Inside,MeadowV,Norm,Norm,TwnhsE,2Story,5,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,PConc,4,550.0,GasA,925,1475,2,3,6,3,Attchd,1976.0,1,1.0,336.0,0,WD ,129500,4425
976,RL,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,8,2003,2003,Hip,CompShg,CemntBd,CmentBd,BrkFace,320.0,4,PConc,4,1978.0,GasA,1978,1978,2,4,8,4,Attchd,2003.0,2,3.0,850.0,0,WD ,318000,7912
977,RL,Pave,0,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,8,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,383.0,4,PConc,4,1598.0,GasA,1606,1606,2,4,6,4,Attchd,2006.0,2,3.0,871.0,0,WD ,255900,6424
978,RL,Pave,0,Lvl,Inside,SawyerW,Norm,Norm,1Fam,1Story,6,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,4,1158.0,GasA,1158,1158,1,4,5,0,0,1980.0,0,0.0,0.0,0,WD ,143500,3474
979,RL,Pave,0,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,8,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,4,PConc,5,1822.0,GasA,1822,1822,2,5,8,4,Attchd,2005.0,2,3.0,678.0,0,WD ,259000,7288
980,RL,Pave,0,Bnk,Corner,Crawfor,Norm,Norm,1Fam,1Story,6,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,184.0,3,CBlock,4,1809.0,GasA,2259,2259,2,4,7,4,Basment,1953.0,1,2.0,450.0,0,COD,217000,6777
981,RL,Pave,0,Bnk,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,6,1923,1950,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,BrkTil,4,1065.0,GasA,915,1635,1,3,6,4,Detchd,1950.0,1,2.0,440.0,0,WD ,210000,4905
982,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1970,1970,Gable,CompShg,MetalSd,MetalSd,BrkFace,76.0,3,CBlock,3,1002.0,GasA,1002,1002,1,3,5,0,Detchd,1973.0,1,2.0,902.0,0,WD ,148500,3006
983,RL,Pave,0,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,6,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,4,616.0,GasA,616,1412,2,4,6,4,BuiltIn,2007.0,3,2.0,432.0,0,New,156932,4236
984,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,Duplex,1Story,5,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,CBlock,3,1728.0,GasA,1728,1728,2,3,10,0,Detchd,1987.0,1,2.0,576.0,0,WD ,145000,5184
985,RL,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,PConc,4,1282.0,GasA,1290,1290,2,4,6,4,Attchd,2007.0,2,2.0,662.0,0,WD ,200000,5160
986,RL,Pave,0,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,10,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,5,PConc,5,1994.0,GasA,2046,2046,2,5,7,4,Attchd,2005.0,3,3.0,878.0,0,WD ,450000,10230
987,FV,Pave,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,2Story,6,1999,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,894.0,3,PConc,4,729.0,GasA,742,1471,2,3,6,0,Detchd,1999.0,1,2.0,440.0,0,WD ,172500,4413
988,RL,Pave,0,Lvl,Inside,NWAmes,Norm,Norm,1Fam,2Story,6,1974,1997,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,CBlock,3,1522.0,GasA,1548,2614,2,3,9,3,Attchd,1974.0,2,2.0,624.0,0,WD ,240000,7842
989,FV,Pave,0,Lvl,Corner,Somerst,Norm,Norm,1Fam,2Story,8,2004,2005,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,PConc,4,1580.0,GasA,1580,2466,3,4,8,4,Attchd,2004.0,2,2.0,610.0,0,WD ,340000,9864
990,RL,Pave,0,HLS,Inside,Timber,Norm,Norm,1Fam,1Story,8,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,PConc,4,1466.0,GasA,1466,1466,2,4,7,0,Attchd,2007.0,3,3.0,610.0,0,WD ,201000,5864
991,RL,Pave,0,Lvl,Corner,CollgCr,Norm,Norm,1Fam,1Story,5,1975,1975,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,CBlock,3,969.0,GasA,969,969,1,3,5,0,Attchd,1975.0,1,2.0,440.0,0,WD ,122000,2907
992,RL,Pave,0,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,7,1978,1985,Gable,CompShg,Plywood,Plywood,Stone,67.0,3,CBlock,4,1529.0,GasA,1664,1664,2,4,7,3,Attchd,1978.0,3,2.0,663.0,0,WD ,213000,4992
993,RL,Pave,0,Lvl,Inside,NAmes,Feedr,Norm,1Fam,1Story,6,1967,1967,Gable,CompShg,BrkComm,Brk Cmn,None,0.0,4,CBlock,3,1680.0,GasA,1691,1691,1,3,5,0,Attchd,1967.0,1,2.0,550.0,0,WD ,175000,6764
994,RL,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,108.0,4,PConc,4,1208.0,GasA,1208,1208,2,4,6,0,Attchd,2007.0,2,2.0,628.0,0,New,195400,4832
995,RL,Pave,0,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,1967,1967,Hip,CompShg,HdBoard,HdBoard,BrkFace,172.0,3,CBlock,3,1052.0,GasA,1052,1052,1,3,6,1,Attchd,1984.0,3,1.0,668.0,0,WD ,113500,3156
996,RL,Pave,0,Lvl,Inside,BrkSide,RRAn,Norm,1Fam,1.5Fin,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,BrkTil,3,972.0,GasA,972,1577,1,2,6,4,Detchd,1939.0,1,1.0,312.0,0,WD ,140200,4731
997,RL,Pave,0,Lvl,Inside,Sawyer,RRAe,Norm,1Fam,1Story,5,1968,1968,Gable,CompShg,Plywood,Plywood,BrkFace,90.0,3,CBlock,3,882.0,GasA,909,909,1,3,5,0,Attchd,1968.0,1,1.0,294.0,0,COD,116000,2727
998,RL,Pave,0,Lvl,Inside,Timber,Norm,Norm,1Fam,1Story,9,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,382.0,5,PConc,4,1838.0,GasA,1838,1838,2,5,9,4,Attchd,2005.0,3,3.0,682.0,0,New,359900,9190
999,RL,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,6,1977,1977,Gable,CompShg,HdBoard,Plywood,BrkFace,62.0,3,CBlock,4,675.0,GasA,686,1388,1,3,6,0,Attchd,1977.0,1,1.0,317.0,0,WD ,157500,4164
1000,RL,Pave,0,Lvl,Inside,ClearCr,Norm,Norm,1Fam,1Story,5,1955,1993,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,CBlock,3,1617.0,GasA,1867,1867,1,3,7,4,Attchd,1955.0,3,1.0,303.0,0,COD,190000,7468
1001,RM,Pave,0,Lvl,FR2,BrkSide,Feedr,Norm,1Fam,1Story,5,1924,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,PConc,3,1145.0,GasA,1301,1301,1,2,5,0,Detchd,1965.0,1,2.0,440.0,0,WD ,100000,3903
1002,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,1964,1964,Hip,CompShg,HdBoard,HdBoard,BrkFace,425.0,3,CBlock,3,1251.0,GasA,1251,1251,1,3,6,4,Attchd,1964.0,2,1.0,461.0,Shed,WD ,160000,3753
1003,RL,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2002,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,68.0,4,PConc,4,1431.0,GasA,1444,1444,2,4,6,0,Attchd,2002.0,2,2.0,577.0,0,WD ,203000,5776
1004,RL,Pave,0,Lvl,Inside,NoRidge,Norm,Norm,1Fam,2Story,8,1990,1990,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,336.0,4,PConc,5,1453.0,GasA,1453,2810,2,4,9,5,Attchd,1990.0,2,2.0,750.0,0,WD ,302000,11240
1005,RL,Pave,0,Lvl,Inside,SawyerW,Norm,Norm,TwnhsE,1Story,6,1980,1980,Gable,CompShg,Plywood,Plywood,None,0.0,3,CBlock,4,923.0,GasA,923,923,2,3,5,3,Attchd,1980.0,2,1.0,264.0,0,WD ,143000,2769
1006,RL,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,8,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,PConc,4,1028.0,GasA,1210,2452,2,4,9,3,BuiltIn,1998.0,3,2.0,683.0,0,WD ,267000,9808
1007,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,Duplex,1Story,4,1964,1964,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,Slab,0,0.0,GasA,1224,1224,2,3,8,0,CarPort,1964.0,1,3.0,530.0,0,WD ,103000,3672
1008,RM,Pave,0,Lvl,FR2,Mitchel,Norm,Norm,TwnhsE,1Story,6,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,443.0,3,PConc,5,1237.0,GasA,1337,1337,2,3,5,0,Attchd,1998.0,3,2.0,405.0,0,WD ,153500,4011
1009,RL,Pave,0,Lvl,CulDSac,Sawyer,RRAe,Norm,1Fam,SFoyer,5,1975,1981,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,CBlock,4,1390.0,GasA,1701,1701,2,3,6,3,Basment,1975.0,3,2.0,611.0,0,WD ,171000,5103
1010,RL,Pave,0,Lvl,FR2,Edwards,Feedr,Norm,1Fam,1.5Fin,4,1924,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,3,1093.0,GasA,1093,1669,1,3,9,0,Attchd,1924.0,1,1.0,288.0,0,WD ,107000,5007
1011,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,1968,1968,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,86.0,3,CBlock,3,952.0,GasA,952,952,1,3,5,0,Attchd,1968.0,1,1.0,288.0,0,WD ,128500,2856
1012,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1957,1957,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,922.0,GasA,922,922,1,3,5,0,Attchd,1957.0,1,1.0,308.0,0,WD ,116000,2766
1013,RL,Pave,0,Low,Inside,Mitchel,Norm,Norm,1Fam,1Story,5,1977,1977,Gable,CompShg,BrkFace,BrkFace,None,0.0,3,CBlock,3,1126.0,GasA,1126,1126,2,3,5,4,Attchd,1977.0,2,2.0,484.0,0,WD ,160000,3378
1014,RL,Pave,0,HLS,Inside,StoneBr,Norm,Norm,TwnhsE,1Story,8,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,PConc,4,1280.0,GasA,1280,1280,2,4,5,0,Attchd,1992.0,2,2.0,506.0,0,WD ,180000,5120
1015,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1970,2002,Gable,CompShg,HdBoard,HdBoard,BrkFace,32.0,3,CBlock,3,914.0,GasA,914,914,1,5,5,0,Attchd,1970.0,2,1.0,368.0,0,WD ,133000,2742
1016,RM,Pave,0,Lvl,Inside,Mitchel,Norm,Norm,Duplex,SFoyer,7,1997,1997,Gable,CompShg,MetalSd,MetalSd,BrkFace,200.0,3,PConc,4,1288.0,GasA,1368,1368,2,3,8,0,Attchd,1997.0,3,4.0,784.0,0,WD ,215000,4104
1017,RL,Pave,0,Bnk,Inside,Crawfor,Norm,Norm,1Fam,2Story,6,1942,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,771.0,GasA,753,1494,1,4,7,4,Attchd,1942.0,1,1.0,213.0,0,WD ,177500,4482
1018,RL,Pave,0,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,8,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,248.0,4,PConc,4,1524.0,GasA,1534,1534,2,4,7,4,Attchd,2006.0,3,2.0,484.0,0,WD ,215000,6136
1019,RM,Pave,0,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,5,1938,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,3,952.0,GasA,994,1582,2,3,6,4,Detchd,1938.0,1,1.0,250.0,0,WD ,150000,4746
1020,RL,Pave,0,Lvl,Corner,SawyerW,Norm,Norm,1Fam,2Story,7,1990,1990,Hip,CompShg,Plywood,Plywood,None,0.0,3,PConc,4,1673.0,GasA,1699,3222,3,4,11,3,Attchd,1990.0,1,3.0,594.0,0,WD ,320000,9666
1021,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,180.0,3,CBlock,3,1516.0,GasA,1516,1516,1,3,6,0,Attchd,1964.0,2,2.0,472.0,0,WD ,167000,4548
1022,RL,Pave,0,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,5,1935,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,Slab,0,0.0,GasA,1032,1032,1,3,6,3,Detchd,1939.0,1,1.0,260.0,0,WD ,125000,3096
1023,RM,Pave,0,Lvl,Inside,OldTown,Norm,Norm,1Fam,1Story,3,1949,1992,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,BrkTil,2,448.0,GasA,1588,1588,2,3,6,0,0,1980.0,0,0.0,0.0,0,WD ,65000,4764
1024,RL,Pave,0,Lvl,Corner,CollgCr,Norm,Norm,1Fam,1Story,7,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,PConc,4,1316.0,GasA,1316,1316,2,4,6,4,Attchd,2007.0,3,2.0,440.0,0,New,200141,5264
1025,RL,Pave,0,Lvl,FR2,Somerst,Feedr,Norm,1Fam,1Story,7,2007,2007,Gable,CompShg,VinylSd,VinylSd,0,0.0,4,PConc,4,1528.0,GasA,1528,1528,3,4,6,3,Attchd,2007.0,1,2.0,480.0,0,New,235876,6112
1026,RM,Pave,0,Bnk,Inside,IDOTRR,Norm,Norm,1Fam,2Story,5,1900,1993,Gambrel,CompShg,AsbShng,AsbShng,None,0.0,3,BrkTil,3,760.0,GasA,928,2168,2,4,11,0,Detchd,1998.0,1,2.0,576.0,0,WD ,123000,6504
1027,RL,Pave,0,Lvl,Inside,Sawyer,Feedr,Norm,1Fam,1.5Fin,5,1951,1951,Gable,CompShg,HdBoard,HdBoard,Stone,41.0,3,CBlock,3,806.0,GasA,1081,1422,1,3,7,3,Detchd,1951.0,1,1.0,288.0,0,WD ,137500,4266
1028,RL,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,4,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,4,990.0,GasA,990,990,1,3,5,0,0,1980.0,0,0.0,0.0,0,WD ,123600,2970
1029,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,CBlock,3,1088.0,GasA,1324,1324,2,3,6,3,Attchd,1965.0,2,2.0,440.0,0,WD ,160000,3972
1030,RL,Pave,0,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,6,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,4,924.0,GasA,948,1690,2,3,7,3,Attchd,2000.0,2,2.0,463.0,0,WD ,181000,5070
1031,RM,Pave,0,HLS,Inside,OldTown,Feedr,RRNn,1Fam,1Story,5,1955,1995,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,825.0,GasA,825,825,1,3,4,0,Detchd,1963.0,2,2.0,720.0,0,WD ,125000,2475
1032,RL,Pave,0,Lvl,Inside,NWAmes,RRAn,Norm,1Fam,2Story,6,1968,1968,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,727.0,GasA,829,1556,1,3,8,0,Attchd,1968.0,1,2.0,441.0,0,WD ,154000,4668
1033,RL,Pave,0,Lvl,Inside,Mitchel,Norm,Norm,1Fam,2Story,6,1993,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,PConc,4,1152.0,GasA,1152,1797,2,4,7,2,Attchd,1993.0,3,2.0,616.0,0,WD ,231000,7188
1034,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,CBlock,3,1056.0,GasA,1056,1056,1,3,6,2,Attchd,1968.0,1,1.0,304.0,0,WD ,142000,3168
1035,RM,Pave,0,Lvl,Inside,OldTown,Artery,Norm,1Fam,2.5Fin,10,1892,1993,Gable,WdShngl,Wd Sdng,Wd Sdng,None,0.0,4,BrkTil,3,1107.0,GasA,1518,3608,2,5,12,3,Detchd,1993.0,1,3.0,840.0,0,WD ,475000,14432
1036,RM,Pave,0,HLS,Inside,Crawfor,Norm,Norm,TwnhsE,1Story,8,2005,2006,Hip,CompShg,CemntBd,CmentBd,Stone,473.0,4,PConc,5,1573.0,GasA,1778,1778,2,5,5,4,Attchd,2005.0,3,2.0,495.0,0,New,375000,7112
1037,RL,Pave,0,Lvl,FR2,NAmes,Norm,Norm,1Fam,1Story,4,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,CBlock,3,864.0,GasA,864,864,1,3,5,1,0,1980.0,0,0.0,0.0,0,ConLI,115000,2592
1038,FV,Pave,Pave,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,7,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,PConc,4,1221.0,GasA,1221,1221,2,4,6,0,Attchd,2004.0,2,2.0,400.0,0,WD ,185000,4884
1039,RL,Pave,0,Bnk,Corner,Edwards,Norm,Norm,1Fam,1.5Fin,6,1920,1995,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,3,660.0,GasA,740,865,1,3,4,4,Detchd,1920.0,1,1.0,216.0,0,WD ,108500,2595
1040,FV,Pave,Pave,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,7,2005,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,PConc,4,600.0,GasA,520,1223,2,4,4,0,Detchd,2005.0,2,2.0,480.0,0,WD ,147400,4892
1041,FV,Pave,0,Lvl,FR2,Somerst,Norm,Norm,TwnhsE,2Story,7,1999,1999,Hip,CompShg,MetalSd,MetalSd,BrkFace,218.0,4,PConc,4,691.0,GasA,713,1452,2,4,6,0,Detchd,1999.0,1,2.0,506.0,0,WD ,156000,5808
1042,RM,Pave,Grvl,Lvl,Inside,IDOTRR,Norm,Norm,1Fam,1.5Fin,5,1915,1978,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,BrkTil,3,880.0,GasA,880,1308,2,3,6,0,Detchd,1950.0,1,2.0,400.0,0,WD ,120000,3924
1043,RL,Pave,0,Lvl,Inside,Gilbert,RRAn,Norm,1Fam,SLvl,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,PConc,4,384.0,GasA,744,1374,2,4,7,0,BuiltIn,2004.0,3,2.0,400.0,0,WD ,167000,5496
1044,RL,Pave,0,Lvl,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,7,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14.0,4,PConc,4,1346.0,GasA,1504,1504,2,4,7,4,Attchd,2005.0,3,2.0,437.0,0,WD ,191000,6016
1045,RL,Pave,0,HLS,Inside,Gilbert,Norm,Norm,1Fam,SLvl,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,4,384.0,GasA,754,1384,2,3,7,3,BuiltIn,1997.0,3,2.0,390.0,0,WD ,161500,4152
1046,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1955,1975,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,CBlock,3,1204.0,GasA,1411,1411,1,3,7,3,Attchd,1955.0,2,1.0,310.0,0,COD,130000,4233
1047,RL,Pave,0,Lvl,Corner,Sawyer,Norm,Norm,1Fam,1Story,5,1963,1963,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,CBlock,3,970.0,GasA,970,970,1,3,5,0,Detchd,1996.0,1,2.0,624.0,0,WD ,132500,2910
1048,RL,Pave,0,Lvl,Inside,Sawyer,Norm,Norm,1Fam,SLvl,5,1970,1970,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,PConc,4,864.0,GasA,904,904,1,4,5,0,2Types,1979.0,1,3.0,912.0,0,WD ,144000,2712
1049,RL,Pave,0,Lvl,CulDSac,Edwards,Norm,Norm,Duplex,2Story,5,1979,1979,Gable,CompShg,Plywood,Plywood,None,0.0,3,Slab,0,0.0,GasA,1100,2233,2,3,11,0,Attchd,1979.0,3,2.0,579.0,0,WD ,141000,6699
1050,RL,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,4,1972,2006,Gable,CompShg,Plywood,Plywood,None,0.0,3,CBlock,3,385.0,GasA,875,875,1,4,5,0,Detchd,1975.0,1,2.0,728.0,0,WD ,117000,2625
1051,RM,Pave,0,Lvl,Inside,IDOTRR,Norm,Norm,2fmCon,1.5Fin,6,1935,1982,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,520.0,GasA,520,754,1,3,5,0,0,1980.0,0,0.0,0.0,0,WD ,84500,2262
1052,RL,Pave,0,Low,CulDSac,ClearCr,Norm,Norm,1Fam,1Story,4,1954,1994,Flat,Tar&Grv,Plywood,Plywood,None,0.0,3,CBlock,4,1364.0,GasA,1663,1663,1,4,6,4,Attchd,1954.0,3,2.0,529.0,0,WD ,256000,4989
1053,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1965,1965,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,CBlock,3,925.0,GasA,925,925,1,3,5,0,Detchd,1965.0,1,1.0,429.0,0,WD ,117500,2775
1054,RL,Pave,0,HLS,Inside,Crawfor,Norm,Norm,1Fam,1.5Fin,5,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,BrkTil,3,728.0,GasA,976,1308,1,3,7,3,Detchd,1940.0,1,1.0,256.0,0,WD ,160000,5232
1055,RL,Pave,0,Bnk,Inside,Sawyer,PosA,Norm,1Fam,1Story,5,1956,1998,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,CBlock,3,1240.0,GasA,1375,1375,1,3,6,4,Attchd,1956.0,1,1.0,323.0,0,WD ,187000,4125
1056,RL,Pave,0,Lvl,Inside,NridgHt,Norm,Norm,1Fam,2Story,8,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,280.0,4,PConc,5,1317.0,GasA,1217,2385,2,4,7,4,Attchd,2003.0,3,3.0,818.0,0,WD ,350000,9540
1057,RL,Pave,0,Lvl,FR2,NAmes,Norm,Norm,Duplex,2Story,5,1974,1974,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,CBlock,4,896.0,GasA,896,1792,2,3,8,0,Detchd,1982.0,1,2.0,480.0,0,WD ,133000,5376
1058,RL,Pave,0,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,8,2007,2007,Hip,CompShg,VinylSd,VinylSd,Stone,554.0,4,PConc,5,2418.0,GasA,2464,2464,2,5,9,5,Attchd,2007.0,3,3.0,650.0,0,WD ,417500,9856
1059,RL,Pave,0,Lvl,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,7,2007,2007,Hip,CompShg,VinylSd,VinylSd,BrkFace,130.0,4,PConc,4,1386.0,GasA,1569,1569,2,4,7,3,Attchd,2007.0,2,3.0,660.0,0,WD ,175900,6276
1060,RL,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,9,2009,2009,Hip,CompShg,VinylSd,VinylSd,Stone,242.0,5,PConc,5,1555.0,GasA,1680,1680,1,5,8,4,Attchd,2009.0,3,3.0,1138.0,0,New,323262,8400
1061,RL,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,PConc,4,1337.0,GasA,1337,1337,2,4,6,0,Attchd,2003.0,2,2.0,531.0,0,WD ,185000,5348
1062,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,1934,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,816.0,GasA,816,816,1,3,4,2,Attchd,1949.0,1,1.0,240.0,0,WD ,129800,2448
1063,RL,Pave,0,Lvl,Corner,NridgHt,Norm,Norm,1Fam,1Story,7,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,4,PConc,4,1541.0,GasA,1541,1541,2,4,7,4,Attchd,2005.0,2,2.0,532.0,0,New,220000,6164
1064,RM,Pave,0,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,4,1935,1995,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,BrkTil,3,884.0,GasA,989,1573,1,4,6,0,Detchd,1935.0,1,1.0,240.0,0,WD ,133000,4719
1065,RL,Pave,0,Lvl,Inside,NAmes,Artery,Norm,1Fam,1.5Fin,4,1949,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,832.0,GasA,832,1461,2,3,6,0,Detchd,1949.0,1,1.0,384.0,0,WD ,133500,4383
1066,RL,Pave,0,Lvl,Inside,Mitchel,Norm,Norm,Duplex,1Story,6,1976,1976,Gable,CompShg,Plywood,Plywood,None,0.0,3,CBlock,3,1958.0,GasA,2048,2048,3,3,9,0,2Types,1976.0,1,2.0,776.0,0,ConLD,170000,6144
